Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-08-30,Harakiri,1962,https://boxd.it/4M2tLN,5,,,2023-08-29
2023-08-31,12 Angry Men,1957,https://boxd.it/4Mijoh,5,,,2023-08-30
2023-09-04,Past Lives,2023,https://boxd.it/4NuNcN,4.5,,,2023-09-03
2023-09-06,The Menu,2022,https://boxd.it/4O7r4P,3.5,,,2023-09-05
2023-09-14,TÁR,2022,https://boxd.it/4QnByb,4,,,2023-09-14
2023-09-16,When Harry Met Sally...,1989,https://boxd.it/4R0mNN,4.5,,,2023-09-15
2023-09-18,The Graduate,1967,https://boxd.it/4RyTkH,4.5,,,2023-09-17
2023-09-25,Ponyo,2008,https://boxd.it/4Tungt,4,Yes,,2023-09-24
2023-10-02,Asteroid City,2023,https://boxd.it/4VCnBP,3,,,2023-10-02
2023-10-03,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4VZFn3,5,,,2023-10-03
2023-10-06,Elemental,2023,https://boxd.it/4WUyeR,4.5,,,2023-10-05
2023-10-13,After Everything,2023,https://boxd.it/4ZdSah,1,,,2023-10-12
2023-10-21,Boogie Nights,1997,https://boxd.it/51N553,4.5,,,2023-10-20
2023-10-25,Grave of the Fireflies,1988,https://boxd.it/539Cwz,4.5,,,2023-10-25
2023-10-27,Killers of the Flower Moon,2023,https://boxd.it/53TVQb,4.5,,,2023-10-26
2023-10-28,Perfect Blue,1997,https://boxd.it/547J1X,5,,,2023-10-27
2023-10-31,Dead Poets Society,1989,https://boxd.it/55jox7,5,,,2023-10-30
2023-11-08,Prisoners,2013,https://boxd.it/581Rfx,5,,,2023-11-07
2023-11-13,The Marvels,2023,https://boxd.it/59wytV,1,,,2023-11-12
2023-11-15,In the Mood for Love,2000,https://boxd.it/5abyqT,5,Yes,,2023-11-15
2023-11-20,There's Still Tomorrow,2023,https://boxd.it/5bDCWJ,4.5,,,2023-11-19
2023-11-25,City of God,2002,https://boxd.it/5dm7Hx,5,,,2023-11-24
2023-11-27,My Fault,2023,https://boxd.it/5e9Gbp,2,,,2023-11-26
2024-03-24,Hereditary,2018,https://boxd.it/67qCyt,4,,,2023-11-26
2023-12-02,Bottoms,2023,https://boxd.it/5fNmD3,4,,,2023-12-01
